AL,Y,OL,P,AC,OC,A,T,Pot,Ovr,N
1 Bundesliga,2016,1 Bundesliga,CF,Tier_2,Tier_2,U21,40Mto10M,75to84,65to74,EU
1 Bundesliga,2016,1 Bundesliga,CM,Tier_2,Tier_2,U21,Below1M,75to84,65to74,EU
Serie A,2016,1 Bundesliga,CB,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
Premier League,2017,Serie A,CB,Tier_1,Tier_1,U25,40Mto10M,75to84,75to84,EU
1 Bundesliga,2016,1 Bundesliga,CB,Tier_3,Tier_2,U21,Below1M,65to74,below65,EU
1 Bundesliga,2019,1 Bundesliga,CB,Tier_4,Tier_3,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2019,1 Bundesliga,CB,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2016,1 Bundesliga,RW,Tier_4,Tier_2,U25,10Mto1M,65to74,65to74,EU
1 Bundesliga,2016,1 Bundesliga,RW,Tier_2,Tier_4,U25,Below1M,65to74,65to74,EU
Premier League,2016,1 Bundesliga,LW,Tier_1,Tier_2,U21,80Mto40M,85above,65to74,EU
Premier League,2016,1 Bundesliga,GK,Tier_1,Tier_2,U25,10Mto1M,85above,75to84,EU
1 Bundesliga,2016,1 Bundesliga,LW,Tier_2,Tier_4,U21,10Mto1M,75to84,below65,EU
Premier League,2016,1 Bundesliga,GK,Tier_1,Tier_3,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2017,Premier League,GK,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2016,Other,CB,Tier_3,Tier_4,U25,10Mto1M,65to74,65to74,EU
1 Bundesliga,2016,1 Bundesliga,GK,Tier_2,Tier_4,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2018,1 Bundesliga,GK,Tier_4,Tier_2,U30,Below1M,75to84,65to74,EU
1 Bundesliga,2016,1 Bundesliga,GK,Tier_2,Tier_4,U25,10Mto1M,75to84,below65,EU
1 Bundesliga,2016,1 Bundesliga,RW,Tier_3,Tier_4,U25,10Mto1M,65to74,below65,EU
1 Bundesliga,2016,Premier League,RW,Tier_2,Tier_1,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2017,1 Bundesliga,RW,Tier_1,Tier_2,U21,10Mto1M,85above,65to74,EU
1 Bundesliga,2016,Other,GK,Tier_4,Tier_4,U30,Below1M,65to74,65to74,EU
1 Bundesliga,2017,1 Bundesliga,GK,Tier_3,Tier_4,U30,10Mto1M,65to74,65to74,EU
Premier Liga,2017,1 Bundesliga,LB,Tier_2,Tier_3,U30,10Mto1M,65to74,65to74,EU
1 Bundesliga,2017,1 Bundesliga,CDM,Tier_3,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2017,1 Bundesliga,CF,Tier_2,Tier_4,U21,Below1M,75to84,below65,EU
Serie A,2017,1 Bundesliga,CM,Tier_3,Tier_1,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2017,1 Bundesliga,RB,Tier_3,Tier_1,U21,10Mto1M,75to84,below65,EU
Premier League,2017,1 Bundesliga,CAM,Tier_2,Tier_4,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2017,1 Bundesliga,CF,Tier_3,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2017,1 Bundesliga,CF,Tier_1,Tier_3,U25,40Mto10M,75to84,65to74,EU
Premier Liga,2019,1 Bundesliga,CF,Tier_2,Tier_1,U25,40Mto10M,75to84,75to84,EU
1 Bundesliga,2017,1 Bundesliga,LB,Tier_3,Tier_1,U21,10Mto1M,75to84,below65,EU
1 Bundesliga,2017,1 Bundesliga,CF,Tier_3,Tier_2,U30,10Mto1M,75to84,65to74,EU
1 Bundesliga,2017,Other,RB,Tier_2,Tier_4,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2017,1 Bundesliga,LW,Tier_3,Tier_2,U30,10Mto1M,65to74,65to74,EU
1 Bundesliga,2017,1 Bundesliga,CB,Tier_1,Tier_2,U21,40Mto10M,85above,75to84,EU
1 Bundesliga,2017,1 Bundesliga,RB,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2017,Other,CB,Tier_1,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2017,Other,LB,Tier_3,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2017,1 Bundesliga,CM,Tier_1,Tier_2,U21,40Mto10M,85above,65to74,EU
1 Bundesliga,2017,1 Bundesliga,RB,Tier_3,Tier_2,U25,10Mto1M,75to84,75to84,EU
1 Bundesliga,2017,1 Bundesliga,CM,Tier_2,Tier_4,U30,10Mto1M,75to84,65to74,EU
1 Bundesliga,2018,1 Bundesliga,CM,Tier_3,Tier_2,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2017,1 Bundesliga,CB,Tier_3,Tier_4,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2017,1 Bundesliga,GK,Tier_2,Tier_4,U25,10Mto1M,75to84,below65,EU
1 Bundesliga,2017,Other,CF,Tier_3,Tier_4,U25,Below1M,65to74,65to74,EU
1 Bundesliga,2017,Other,LW,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2018,1 Bundesliga,RB,Tier_3,Tier_3,U25,10Mto1M,75to84,below65,EU
Eredivisie,2018,Other,CB,Tier_3,Tier_4,U21,10Mto1M,75to84,below65,EU
Ligue 1,2018,1 Bundesliga,RB,Tier_1,Tier_1,U21,40Mto10M,85above,75to84,EU
Eredivisie,2018,1 Bundesliga,CM,Tier_4,Tier_1,U21,Below1M,75to84,below65,EU
1 Bundesliga,2018,Other,CF,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2018,1 Bundesliga,CAM,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,EU
Eredivisie,2018,1 Bundesliga,LB,Tier_3,Tier_2,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2018,1 Bundesliga,RB,Tier_4,Tier_2,U25,Below1M,75to84,65to74,EU
Ligue 1,2018,1 Bundesliga,CB,Tier_1,Tier_2,U21,40Mto10M,75to84,65to74,EU
Premier Liga,2018,1 Bundesliga,CB,Tier_2,Tier_2,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2018,1 Bundesliga,CM,Tier_2,Tier_2,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2018,Other,CAM,Tier_3,Tier_4,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2018,Other,CF,Tier_4,Tier_4,U25,10Mto1M,75to84,65to74,EU
Eredivisie,2018,Eredivisie,CB,Tier_4,Tier_4,U21,10Mto1M,75to84,65to74,EU
Serie A,2019,Eredivisie,CB,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2018,1 Bundesliga,RW,Tier_2,Tier_4,U25,10Mto1M,65to74,65to74,EU
1 Bundesliga,2018,Other,LB,Tier_2,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2019,1 Bundesliga,CM,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2019,1 Bundesliga,CF,Tier_1,Tier_2,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2019,1 Bundesliga,LB,Tier_3,Tier_1,U21,10Mto1M,75to84,65to74,EU
Eredivisie,2019,1 Bundesliga,CB,Tier_2,Tier_2,U25,10Mto1M,75to84,75to84,EU
1 Bundesliga,2019,1 Bundesliga,CAM,Tier_1,Tier_2,U25,10Mto1M,85above,75to84,EU
1 Bundesliga,2019,1 Bundesliga,CF,Tier_2,Tier_3,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2019,1 Bundesliga,GK,Tier_2,Tier_3,A30,Below1M,65to74,75to84,EU
1 Bundesliga,2019,Other,LB,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2019,1 Bundesliga,CM,Tier_4,Tier_4,U25,Below1M,65to74,65to74,EU
1 Bundesliga,2019,Other,CF,Tier_2,Tier_4,U21,Below1M,75to84,below65,EU
Primera Division,2009,1 Bundesliga,CDM,Tier_3,Tier_3,U30,Below1M,75to84,65to74,AF
Serie A,2011,Serie A,CF,Tier_1,Tier_1,U25,10Mto1M,75to84,75to84,AF
1 Bundesliga,2013,Serie A,CF,Tier_2,Tier_1,U30,10Mto1M,85above,75to84,AF
Serie A,2019,Serie A,CF,Tier_1,Tier_2,A30,Below1M,75to84,75to84,AF
Liga Nos,2009,Other,LB,Tier_1,Tier_4,U21,Below1M,75to84,65to74,AF
Serie A,2009,Ligue 1,LB,Tier_2,Tier_4,U21,Below1M,75to84,65to74,AF
Serie A,2012,Serie A,LB,Tier_1,Tier_2,U25,40Mto10M,75to84,75to84,AF
Serie A,2009,Other,CM,Tier_2,Tier_4,U21,Below1M,75to84,65to74,AF
Serie A,2009,Other,CB,Tier_2,Tier_4,U21,Below1M,75to84,65to74,AF
Premier Liga,2015,Ligue 1,CB,Tier_2,Tier_4,U25,Below1M,65to74,65to74,AF
Serie A,2009,Other,RW,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,AF
1 Bundesliga,2010,1 Bundesliga,LB,Tier_2,Tier_1,A30,Below1M,65to74,65to74,AF
1 Bundesliga,2010,Other,CDM,Tier_2,Tier_4,U25,10Mto1M,85above,75to84,AF
Premier League,2010,Ligue 1,CF,Tier_2,Tier_2,U25,40Mto10M,75to84,65to74,AF
Liga Nos,2010,Other,CAM,Tier_4,Tier_4,U30,Below1M,75to84,65to74,AF
Ligue 1,2011,Other,CDM,Tier_3,Tier_4,U30,Below1M,75to84,65to74,AF
Ligue 1,2011,Serie A,CDM,Tier_4,Tier_2,U21,Below1M,65to74,65to74,AF
Premier Liga,2013,Ligue 1,CDM,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,AF
Ligue 1,2012,Liga Nos,LW,Tier_3,Tier_1,U25,10Mto1M,65to74,65to74,AF
1 Bundesliga,2012,Serie A,CM,Tier_2,Tier_2,U21,10Mto1M,85above,below65,AF
Serie A,2015,1 Bundesliga,CM,Tier_2,Tier_2,U25,10Mto1M,75to84,65to74,AF
Serie A,2018,Serie A,CM,Tier_3,Tier_2,U30,Below1M,65to74,65to74,AF
Serie A,2012,Serie A,CM,Tier_2,Tier_1,U21,10Mto1M,75to84,65to74,AF
Serie A,2013,Serie A,CM,Tier_2,Tier_3,U21,10Mto1M,75to84,65to74,AF
Serie A,2017,Serie A,CM,Tier_4,Tier_2,U25,Below1M,75to84,65to74,AF
Serie A,2018,Serie A,CM,Tier_4,Tier_4,U25,Below1M,75to84,65to74,AF
Primera Division,2012,Primera Division,CM,Tier_3,Tier_1,U21,Below1M,75to84,65to74,AF
Premier Liga,2013,Primera Division,CM,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,AF
Serie A,2012,Serie A,CF,Tier_1,Tier_1,U21,10Mto1M,75to84,65to74,AF
Serie A,2014,Serie A,CF,Tier_2,Tier_1,U21,10Mto1M,75to84,65to74,AF
Premier Liga,2012,Other,CF,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,AF
Ligue 1,2015,Other,CF,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,AF
Liga Nos,2018,Ligue 1,CF,Tier_1,Tier_3,U30,10Mto1M,75to84,65to74,AF
Premier League,2013,Liga Nos,LW,Tier_1,Tier_1,U21,10Mto1M,75to84,65to74,AF
Premier League,2017,Premier League,LW,Tier_1,Tier_1,U25,10Mto1M,75to84,75to84,AF
Liga Nos,2013,Liga Nos,CDM,Tier_4,Tier_4,U21,Below1M,75to84,65to74,AF
Ligue 1,2016,Liga Nos,CDM,Tier_3,Tier_4,U25,Below1M,75to84,65to74,AF
Serie A,2013,Serie A,CM,Tier_1,Tier_3,U21,10Mto1M,75to84,65to74,AF
Serie A,2013,Other,CAM,Tier_2,Tier_4,U21,Below1M,75to84,65to74,AF
Ligue 1,2014,Ligue 1,CF,Tier_3,Tier_1,U25,10Mto1M,75to84,75to84,AF
Premier League,2015,Ligue 1,CF,Tier_1,Tier_3,U25,40Mto10M,75to84,65to74,AF
Premier League,2016,Premier League,CF,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,AF
Premier League,2019,Premier League,CF,Tier_2,Tier_2,U30,10Mto1M,75to84,75to84,AF
1 Bundesliga,2014,1 Bundesliga,LB,Tier_3,Tier_4,U21,10Mto1M,65to74,65to74,AF
Premier League,2015,1 Bundesliga,LB,Tier_1,Tier_3,U21,40Mto10M,75to84,65to74,AF
Serie A,2014,Serie A,CM,Tier_2,Tier_3,U21,10Mto1M,65to74,65to74,AF
Serie A,2016,Serie A,CM,Tier_2,Tier_2,U21,10Mto1M,75to84,65to74,AF
Premier League,2015,Other,CDM,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,AF
Primera Division,2015,Other,CM,Tier_1,Tier_4,U21,10Mto1M,75to84,below65,AF
Serie A,2015,Serie A,CM,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,AF
Serie A,2016,Serie A,CM,Tier_2,Tier_2,U25,10Mto1M,75to84,65to74,AF
Premier League,2016,Premier League,LW,Tier_1,Tier_2,U30,40Mto10M,75to84,75to84,AF
Premier League,2017,Premier League,LW,Tier_2,Tier_1,U30,40Mto10M,75to84,75to84,AF
Premier League,2016,Premier League,LW,Tier_2,Tier_1,U25,40Mto10M,75to84,65to74,AF
Serie A,2017,Serie A,RB,Tier_4,Tier_1,U21,Below1M,65to74,65to74,AF
Liga Nos,2017,Liga Nos,LB,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,AF
Primera Division,2017,Liga Nos,CF,Tier_3,Tier_4,U21,10Mto1M,75to84,65to74,AF
1 Bundesliga,2018,Other,CB,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,AF
Primera Division,2018,Other,CF,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,AF
1 Bundesliga,2018,Other,CF,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,AF
Serie A,2018,Other,CB,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,AF
Primera Division,2018,Other,RW,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,AF
Primera Division,2019,Other,CB,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,AF
1 Bundesliga,2019,1 Bundesliga,RW,Tier_2,Tier_4,U21,10Mto1M,75to84,below65,AF
Premier Liga,2019,Other,CF,Tier_4,Tier_4,U25,Below1M,75to84,65to74,AF
1 Bundesliga,2019,Other,LW,Tier_4,Tier_4,U25,10Mto1M,75to84,65to74,AF
1 Bundesliga,2009,Other,CB,Tier_2,Tier_4,U21,Below1M,75to84,65to74,EU
Premier League,2009,Other,CB,Tier_1,Tier_4,U30,10Mto1M,75to84,65to74,EU
Serie A,2009,Other,CDM,Tier_3,Tier_4,U25,10Mto1M,65to74,65to74,EU
1 Bundesliga,2010,1 Bundesliga,CF,Tier_2,Tier_1,U30,Below1M,75to84,75to84,EU
1 Bundesliga,2010,Other,CB,Tier_2,Tier_4,U21,10Mto1M,75to84,below65,EU
1 Bundesliga,2015,1 Bundesliga,CB,Tier_1,Tier_2,U25,10Mto1M,75to84,75to84,EU
1 Bundesliga,2017,1 Bundesliga,CB,Tier_2,Tier_1,U25,10Mto1M,75to84,75to84,EU
Serie A,2010,Serie A,CB,Tier_1,Tier_1,U25,10Mto1M,75to84,65to74,EU
Serie A,2011,Serie A,CB,Tier_1,Tier_1,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2012,Serie A,CB,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2013,1 Bundesliga,CB,Tier_1,Tier_2,U25,10Mto1M,75to84,75to84,EU
Premier League,2018,1 Bundesliga,CB,Tier_1,Tier_1,U30,40Mto10M,85above,85above,EU
Serie A,2010,Other,CDM,Tier_1,Tier_4,U21,Below1M,75to84,65to74,EU
Serie A,2012,Serie A,CDM,Tier_1,Tier_1,U21,10Mto1M,75to84,65to74,EU
Serie A,2013,Serie A,CDM,Tier_1,Tier_1,U25,10Mto1M,75to84,below65,EU
Serie A,2016,Serie A,CDM,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,EU
Serie A,2019,Other,CDM,Tier_4,Tier_4,U30,Below1M,65to74,65to74,EU
Ligue 1,2010,Other,LB,Tier_4,Tier_4,U30,Below1M,75to84,65to74,EU
1 Bundesliga,2010,Other,LB,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
Premier League,2010,Other,CF,Tier_1,Tier_4,U21,Below1M,75to84,65to74,EU
Serie A,2010,Other,CM,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
Serie A,2012,Serie A,CM,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,EU
Serie A,2014,Serie A,CM,Tier_2,Tier_2,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2010,Other,CB,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2011,Other,CAM,Tier_4,Tier_4,U21,Below1M,75to84,65to74,EU
Serie A,2011,Other,GK,Tier_2,Tier_4,U30,Below1M,75to84,65to74,EU
1 Bundesliga,2012,1 Bundesliga,CDM,Tier_4,Tier_1,U21,Below1M,75to84,below65,EU
Serie A,2012,Other,RB,Tier_1,Tier_4,U30,Below1M,75to84,65to74,EU
1 Bundesliga,2012,Other,LB,Tier_1,Tier_4,U21,10Mto1M,65to74,65to74,EU
1 Bundesliga,2015,1 Bundesliga,LB,Tier_3,Tier_1,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2012,Other,CB,Tier_4,Tier_4,U30,Below1M,75to84,65to74,EU
Premier Liga,2012,Other,CF,Tier_4,Tier_4,U21,Below1M,75to84,65to74,EU
Premier League,2013,Other,CF,Tier_2,Tier_4,U25,40Mto10M,75to84,65to74,EU
Liga Nos,2016,Premier League,CF,Tier_1,Tier_2,U30,10Mto1M,75to84,75to84,EU
Ligue 1,2017,Liga Nos,CF,Tier_1,Tier_1,U30,40Mto10M,75to84,75to84,EU
Serie A,2013,Other,RW,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,EU
Serie A,2013,Other,CB,Tier_2,Tier_4,U21,Below1M,75to84,65to74,EU
Serie A,2013,Other,GK,Tier_2,Tier_4,U30,Below1M,75to84,65to74,EU
Serie A,2019,Serie A,GK,Tier_1,Tier_2,A30,10Mto1M,75to84,75to84,EU
Premier League,2013,Other,RW,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
Eredivisie,2013,Other,RW,Tier_4,Tier_4,U25,Below1M,75to84,65to74,EU
Serie A,2014,Other,LB,Tier_1,Tier_4,U30,Below1M,75to84,65to74,EU
Premier League,2015,Serie A,LB,Tier_2,Tier_1,A30,10Mto1M,75to84,65to74,EU
Serie A,2014,Other,CB,Tier_1,Tier_4,U25,40Mto10M,75to84,65to74,EU
Serie A,2019,Serie A,CB,Tier_1,Tier_1,U30,40Mto10M,75to84,65to74,EU
Liga Nos,2014,Other,CDM,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,EU
Serie A,2014,Serie A,RW,Tier_3,Tier_2,U30,10Mto1M,75to84,65to74,EU
1 Bundesliga,2014,Other,GK,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2018,Other,GK,Tier_2,Tier_4,U25,Below1M,75to84,75to84,EU
1 Bundesliga,2017,Other,CB,Tier_1,Tier_4,U21,40Mto10M,75to84,65to74,EU
Primera Division,2017,Other,CB,Tier_3,Tier_4,U30,10Mto1M,75to84,65to74,EU
1 Bundesliga,2017,Serie A,CF,Tier_2,Tier_1,U21,10Mto1M,75to84,below65,EU
Premier League,2017,Other,CB,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2017,Other,LB,Tier_2,Tier_4,U21,Below1M,75to84,65to74,EU
Serie A,2017,Other,LB,Tier_2,Tier_4,U25,Below1M,65to74,65to74,EU
Liga Nos,2018,Other,GK,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,EU
Eredivisie,2019,1 Bundesliga,CF,Tier_4,Tier_4,U21,Below1M,75to84,65to74,EU
Ligue 1,2019,Other,CF,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2014,Ligue 1,RB,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,NA
Eredivisie,2012,Other,LW,Tier_3,Tier_4,U25,Below1M,65to74,65to74,NA
Ligue 1,2009,Other,CF,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,AF
Ligue 1,2010,Ligue 1,RW,Tier_4,Tier_2,U30,Below1M,65to74,below65,AF
1 Bundesliga,2010,Ligue 1,CDM,Tier_2,Tier_3,U25,Below1M,75to84,below65,AF
Serie A,2011,Other,CM,Tier_3,Tier_4,U25,Below1M,85above,65to74,AF
Serie A,2011,Serie A,CM,Tier_1,Tier_3,U25,10Mto1M,85above,65to74,AF
Serie A,2012,Serie A,CM,Tier_1,Tier_1,U25,10Mto1M,75to84,65to74,AF
Ligue 1,2012,Ligue 1,CM,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,AF
Serie A,2015,Other,CDM,Tier_2,Tier_4,U21,Below1M,75to84,65to74,AF
Serie A,2016,Serie A,CDM,Tier_1,Tier_2,U21,40Mto10M,75to84,65to74,AF
Serie A,2019,Serie A,CDM,Tier_1,Tier_1,U21,40Mto10M,75to84,75to84,AF
1 Bundesliga,2016,Other,CM,Tier_2,Tier_4,U21,40Mto10M,75to84,65to74,AF
Premier League,2018,1 Bundesliga,CM,Tier_1,Tier_2,U25,80Mto40M,85above,75to84,AF
Ligue 1,2016,Ligue 1,LW,Tier_2,Tier_4,U21,10Mto1M,85above,65to74,AF
Ligue 1,2017,Ligue 1,CDM,Tier_3,Tier_4,U25,Below1M,75to84,65to74,AF
Ligue 1,2018,Primera Division,CF,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,AF
Ligue 1,2009,Other,CDM,Tier_4,Tier_4,U25,Below1M,75to84,65to74,AF
Serie A,2012,Serie A,CF,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,AF
Ligue 1,2018,Liga Nos,CDM,Tier_1,Tier_4,U30,10Mto1M,75to84,65to74,AF
Liga Nos,2018,Liga Nos,CDM,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,AF
Premier Liga,2012,Other,RB,Tier_4,Tier_4,U25,Below1M,65to74,below65,NA
Ligue 1,2012,Other,CAM,Tier_4,Tier_4,U21,Below1M,75to84,65to74,NA
Ligue 1,2015,Other,CAM,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,NA
Serie A,2009,Serie A,RW,Tier_3,Tier_1,U30,Below1M,75to84,65to74,NA
Serie A,2011,Serie A,RW,Tier_2,Tier_3,A30,Below1M,75to84,65to74,NA
Premier League,2011,Premier League,CDM,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,NA
Primera Division,2012,Other,CF,Tier_3,Tier_4,U25,Below1M,75to84,65to74,NA
Primera Division,2017,Primera Division,CF,Tier_4,Tier_1,U25,10Mto1M,75to84,65to74,NA
Premier League,2009,Other,GK,Tier_1,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2010,Other,CF,Tier_2,Tier_4,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2013,1 Bundesliga,CF,Tier_2,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2014,1 Bundesliga,CF,Tier_2,Tier_2,U30,10Mto1M,75to84,75to84,EU
Serie A,2010,Serie A,CM,Tier_1,Tier_1,U25,Below1M,65to74,below65,EU
Serie A,2010,Other,LB,Tier_2,Tier_4,U25,Below1M,75to84,65to74,EU
Primera Division,2010,Other,CDM,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2011,1 Bundesliga,CAM,Tier_2,Tier_1,U30,Below1M,75to84,75to84,EU
Premier Liga,2011,Premier Liga,LW,Tier_2,Tier_2,U25,40Mto10M,75to84,75to84,EU
1 Bundesliga,2011,Other,LW,Tier_2,Tier_4,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2012,1 Bundesliga,LW,Tier_4,Tier_2,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2014,1 Bundesliga,LW,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,EU
Serie A,2011,Other,CDM,Tier_2,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2012,Premier Liga,CM,Tier_3,Tier_1,U30,Below1M,75to84,75to84,EU
1 Bundesliga,2015,Other,CM,Tier_2,Tier_4,A30,Below1M,75to84,65to74,EU
Premier Liga,2012,Ligue 1,CAM,Tier_2,Tier_1,U25,10Mto1M,65to74,65to74,EU
1 Bundesliga,2015,Other,CAM,Tier_2,Tier_4,U21,Below1M,75to84,65to74,EU
Serie A,2015,Other,CF,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2016,Other,CB,Tier_3,Tier_4,U25,Below1M,65to74,below65,EU
Serie A,2016,Other,CDM,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2018,Other,LW,Tier_3,Tier_4,U21,10Mto1M,75to84,65to74,EU
Serie A,2018,Other,LW,Tier_1,Tier_4,U21,Below1M,75to84,65to74,EU
Ligue 1,2009,Primera Division,CF,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,EU
Premier League,2010,Ligue 1,CF,Tier_2,Tier_1,A30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2010,Premier League,CAM,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
Premier League,2012,1 Bundesliga,CAM,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
Premier League,2014,Premier League,CAM,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,EU
Premier League,2017,Premier League,CAM,Tier_1,Tier_2,U30,80Mto40M,75to84,65to74,EU
Eredivisie,2011,Eredivisie,CF,Tier_2,Tier_3,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2015,Eredivisie,CF,Tier_3,Tier_2,U25,10Mto1M,75to84,65to74,EU
Premier League,2011,Other,CDM,Tier_2,Tier_4,U25,Below1M,75to84,65to74,EU
Eredivisie,2012,Other,CF,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
Primera Division,2014,Eredivisie,CF,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2016,Primera Division,CF,Tier_3,Tier_2,U30,10Mto1M,75to84,65to74,EU
Eredivisie,2012,Ligue 1,CF,Tier_3,Tier_4,U25,10Mto1M,65to74,65to74,EU
Premier Liga,2013,Other,CB,Tier_2,Tier_4,U30,10Mto1M,75to84,65to74,EU
Serie A,2013,Serie A,CM,Tier_2,Tier_3,U25,Below1M,75to84,65to74,EU
Serie A,2014,Other,CB,Tier_1,Tier_4,U21,Below1M,75to84,65to74,EU
Premier Liga,2018,Premier League,CB,Tier_2,Tier_2,U25,10Mto1M,75to84,65to74,EU
Serie A,2015,Serie A,CM,Tier_2,Tier_3,A30,Below1M,75to84,65to74,EU
Serie A,2018,Serie A,CM,Tier_4,Tier_2,A30,Below1M,75to84,65to74,EU
Premier League,2016,Other,RW,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,EU
Primera Division,2016,Other,CB,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,EU
Premier Liga,2017,Primera Division,CB,Tier_3,Tier_3,U25,10Mto1M,75to84,65to74,EU
Premier Liga,2017,Other,CF,Tier_3,Tier_4,U30,10Mto1M,75to84,65to74,EU
Eredivisie,2018,Eredivisie,RW,Tier_3,Tier_2,U21,10Mto1M,75to84,65to74,EU
